date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,is_holiday
2022-01-01,12152,Saturday,7,1,2022,d_1,NewYear,National,,,1,1,0,1
2022-01-02,12152,Sunday,1,1,2022,d_2,,,,,1,0,1,0
2022-01-03,12201,Monday,2,1,2022,d_3,,,,,1,1,1,0
2022-01-04,12201,Tuesday,3,1,2022,d_4,,,,,0,0,0,0
2022-01-05,12201,Wednesday,4,1,2022,d_5,,,,,1,1,1,0
2022-01-06,12201,Thursday,5,1,2022,d_6,,,,,1,1,0,0
2022-01-07,12201,Friday,6,1,2022,d_7,,,,,1,1,0,0
2022-01-08,12201,Saturday,7,1,2022,d_8,,,,,0,0,1,0
2022-01-09,12201,Sunday,1,1,2022,d_9,,,,,1,1,1,0
2022-01-10,12202,Monday,2,1,2022,d_10,,,,,1,1,0,0
2022-01-11,12202,Tuesday,3,1,2022,d_11,,,,,0,1,1,0
2022-01-12,12202,Wednesday,4,1,2022,d_12,,,,,0,0,1,0
2022-01-13,12202,Thursday,5,1,2022,d_13,,,,,0,0,0,0
2022-01-14,12202,Friday,6,1,2022,d_14,,,,,0,0,0,0
2022-01-15,12202,Saturday,7,1,2022,d_15,,,,,0,0,0,0
2022-01-16,12202,Sunday,1,1,2022,d_16,,,,,0,0,0,0
2022-01-17,12203,Monday,2,1,2022,d_17,,,,,0,0,0,0
2022-01-18,12203,Tuesday,3,1,2022,d_18,,,,,0,0,0,0
2022-01-19,12203,Wednesday,4,1,2022,d_19,,,,,0,0,0,0
2022-01-20,12203,Thursday,5,1,2022,d_20,MartinLutherKingDay,National,,,0,0,0,1
2022-01-21,12203,Friday,6,1,2022,d_21,,,,,0,0,0,0
2022-01-22,12203,Saturday,7,1,2022,d_22,,,,,0,0,0,0
2022-01-23,12203,Sunday,1,1,2022,d_23,,,,,0,0,0,0
2022-01-24,12204,Monday,2,1,2022,d_24,,,,,0,0,0,0
2022-01-25,12204,Tuesday,3,1,2022,d_25,,,,,0,0,0,0
2022-01-26,12204,Wednesday,4,1,2022,d_26,,,,,0,0,0,0
2022-01-27,12204,Thursday,5,1,2022,d_27,,,,,0,0,0,0
2022-01-28,12204,Friday,6,1,2022,d_28,,,,,0,0,0,0
2022-01-29,12204,Saturday,7,1,2022,d_29,,,,,0,0,0,0
2022-01-30,12204,Sunday,1,1,2022,d_30,,,,,0,0,0,0
2022-01-31,12205,Monday,2,1,2022,d_31,,,,,0,0,0,0
2022-02-01,12205,Tuesday,3,2,2022,d_32,,,,,1,1,0,0
2022-02-02,12205,Wednesday,4,2,2022,d_33,SuperBowl,Sporting,,,1,0,1,1
2022-02-03,12205,Thursday,5,2,2022,d_34,,,,,1,1,1,0
2022-02-04,12205,Friday,6,2,2022,d_35,,,,,0,0,0,0
2022-02-05,12205,Saturday,7,2,2022,d_36,,,,,1,1,1,0
2022-02-06,12205,Sunday,1,2,2022,d_37,,,,,1,1,0,0
2022-02-07,12206,Monday,2,2,2022,d_38,,,,,1,1,0,0
2022-02-08,12206,Tuesday,3,2,2022,d_39,,,,,0,0,1,0
2022-02-09,12206,Wednesday,4,2,2022,d_40,,,,,1,1,1,0
2022-02-10,12206,Thursday,5,2,2022,d_41,,,,,1,1,0,0
2022-02-11,12206,Friday,6,2,2022,d_42,,,,,0,1,1,0
2022-02-12,12206,Saturday,7,2,2022,d_43,,,,,0,0,1,0
2022-02-13,12206,Sunday,1,2,2022,d_44,,,,,0,0,0,0
2022-02-14,12207,Monday,2,2,2022,d_45,ValentinesDay,Cultural,,,0,0,0,1
2022-02-15,12207,Tuesday,3,2,2022,d_46,,,,,0,0,0,0
2022-02-16,12207,Wednesday,4,2,2022,d_47,,,,,0,0,0,0
